turn,color,move,player_name
1,BLACK,D3,Human
2,WHITE,C3,MomijiManjuBot
3,WHITE,C5,MomijiManjuBot
4,WHITE,E3,MomijiManjuBot
5,WHITE,C3,MomijiManjuBot
6,BLACK,E6,Human
7,WHITE,D2,MomijiManjuBot
8,WHITE,D6,MomijiManjuBot
9,WHITE,E3,MomijiManjuBot
10,WHITE,F4,MomijiManjuBot
11,WHITE,F6,MomijiManjuBot
12,WHITE,F6,MomijiManjuBot
13,BLACK,C4,Human
14,WHITE,C5,MomijiManjuBot
15,WHITE,D6,MomijiManjuBot
16,WHITE,E3,MomijiManjuBot
17,WHITE,E7,MomijiManjuBot
18,WHITE,C5,MomijiManjuBot
19,BLACK,D6,Human
20,WHITE,C6,MomijiManjuBot
21,WHITE,C7,MomijiManjuBot
22,WHITE,E2,MomijiManjuBot
23,WHITE,E3,MomijiManjuBot
24,WHITE,E7,MomijiManjuBot
25,WHITE,F4,MomijiManjuBot
26,WHITE,F7,MomijiManjuBot
27,WHITE,F4,MomijiManjuBot
28,BLACK,E3,Human
29,WHITE,C6,MomijiManjuBot
30,WHITE,C7,MomijiManjuBot
31,WHITE,D2,MomijiManjuBot
32,WHITE,D7,MomijiManjuBot
33,WHITE,E2,MomijiManjuBot
34,WHITE,E7,MomijiManjuBot
35,WHITE,F2,MomijiManjuBot
36,WHITE,F3,MomijiManjuBot
37,WHITE,F5,MomijiManjuBot
38,WHITE,F7,MomijiManjuBot
39,WHITE,F5,MomijiManjuBot
40,BLACK,C6,Human
41,WHITE,B6,MomijiManjuBot
42,WHITE,C2,MomijiManjuBot
43,WHITE,C7,MomijiManjuBot
44,WHITE,D2,MomijiManjuBot
45,WHITE,D7,MomijiManjuBot
46,WHITE,E2,MomijiManjuBot
47,WHITE,E7,MomijiManjuBot
48,WHITE,F2,MomijiManjuBot
49,WHITE,F3,MomijiManjuBot
50,WHITE,F7,MomijiManjuBot
51,WHITE,C2,MomijiManjuBot
52,BLACK,C1,Human
53,WHITE,B1,MomijiManjuBot
54,WHITE,B2,MomijiManjuBot
55,WHITE,B3,MomijiManjuBot
56,WHITE,B4,MomijiManjuBot
57,WHITE,B5,MomijiManjuBot
58,WHITE,B6,MomijiManjuBot
59,WHITE,B7,MomijiManjuBot
60,WHITE,C7,MomijiManjuBot
61,WHITE,D2,MomijiManjuBot
62,WHITE,D7,MomijiManjuBot
63,WHITE,E2,MomijiManjuBot
64,WHITE,E7,MomijiManjuBot
65,WHITE,F2,MomijiManjuBot
66,WHITE,F3,MomijiManjuBot
67,WHITE,B3,MomijiManjuBot
68,BLACK,A3,Human
69,WHITE,B1,MomijiManjuBot
70,WHITE,B2,MomijiManjuBot
71,WHITE,B4,MomijiManjuBot
72,WHITE,B5,MomijiManjuBot
73,WHITE,B6,MomijiManjuBot
74,WHITE,B7,MomijiManjuBot
75,WHITE,C7,MomijiManjuBot
76,WHITE,D2,MomijiManjuBot
77,WHITE,D7,MomijiManjuBot
78,WHITE,E2,MomijiManjuBot
79,WHITE,E7,MomijiManjuBot
80,WHITE,F2,MomijiManjuBot
81,WHITE,B2,MomijiManjuBot
82,BLACK,F3,Human
83,WHITE,B1,MomijiManjuBot
84,WHITE,B4,MomijiManjuBot
85,WHITE,B5,MomijiManjuBot
86,WHITE,B6,MomijiManjuBot
87,WHITE,C7,MomijiManjuBot
88,WHITE,D2,MomijiManjuBot
89,WHITE,D7,MomijiManjuBot
90,WHITE,E2,MomijiManjuBot
91,WHITE,E7,MomijiManjuBot
92,WHITE,F2,MomijiManjuBot
93,WHITE,G3,MomijiManjuBot
94,WHITE,B4,MomijiManjuBot
95,BLACK,A4,Human
96,WHITE,A5,MomijiManjuBot
97,WHITE,B1,MomijiManjuBot
98,WHITE,B5,MomijiManjuBot
99,WHITE,B6,MomijiManjuBot
100,WHITE,C7,MomijiManjuBot
101,WHITE,D2,MomijiManjuBot
102,WHITE,D7,MomijiManjuBot
103,WHITE,E2,MomijiManjuBot
104,WHITE,E7,MomijiManjuBot
105,WHITE,F2,MomijiManjuBot
106,WHITE,G3,MomijiManjuBot
107,WHITE,B5,MomijiManjuBot
108,BLACK,A1,Human
109,WHITE,B1,MomijiManjuBot
