epoch,opponent,win_rate
1,DumbBot,100.0
2,DumbBot,20.0
3,DumbBot,60.0
4,DumbBot,60.0
5,DumbBot,40.0
6,DumbBot,80.0
7,DumbBot,40.0
8,DumbBot,60.0
9,DumbBot,100.0
10,DumbBot,80.0
11,DumbBot,40.0
12,DumbBot,80.0
13,DumbBot,40.0
14,DumbBot,100.0
15,DumbBot,100.0
16,DumbBot,80.0
17,DumbBot,60.0
18,DumbBot,80.0
19,DumbBot,80.0
20,DumbBot,40.0
21,DumbBot,80.0
22,DumbBot,80.0
23,DumbBot,80.0
24,DumbBot,40.0
25,DumbBot,80.0
26,DumbBot,80.0
27,DumbBot,40.0
28,DumbBot,40.0
29,DumbBot,60.0
30,DumbBot,80.0
31,DumbBot,60.0
32,DumbBot,60.0
33,DumbBot,40.0
34,DumbBot,60.0
35,DumbBot,80.0
36,DumbBot,40.0
37,DumbBot,40.0
38,DumbBot,60.0
39,DumbBot,100.0
40,DumbBot,60.0
41,DumbBot,60.0
42,DumbBot,60.0
43,DumbBot,40.0
44,DumbBot,100.0
45,DumbBot,20.0
46,DumbBot,80.0
47,DumbBot,60.0
48,DumbBot,40.0
49,DumbBot,80.0
50,DumbBot,60.0
51,DumbBot,80.0
52,DumbBot,80.0
53,DumbBot,100.0
54,DumbBot,80.0
55,DumbBot,80.0
56,DumbBot,80.0
57,DumbBot,20.0
58,DumbBot,100.0
59,DumbBot,40.0
60,DumbBot,40.0
61,DumbBot,80.0
62,DumbBot,60.0
63,DumbBot,60.0
64,DumbBot,40.0
65,DumbBot,60.0
66,DumbBot,60.0
67,DumbBot,60.0
68,DumbBot,100.0
69,DumbBot,80.0
70,DumbBot,20.0
71,DumbBot,80.0
72,DumbBot,80.0
73,DumbBot,60.0
74,DumbBot,80.0
75,DumbBot,60.0
76,DumbBot,80.0
77,DumbBot,100.0
78,DumbBot,80.0
79,DumbBot,100.0
80,DumbBot,80.0
81,DumbBot,80.0
82,DumbBot,40.0
83,DumbBot,60.0
84,DumbBot,60.0
85,DumbBot,60.0
86,DumbBot,80.0
87,DumbBot,80.0
88,DumbBot,100.0
89,DumbBot,60.0
90,DumbBot,60.0
91,DumbBot,60.0
92,DumbBot,60.0
93,DumbBot,60.0
94,DumbBot,60.0
